date,temp_max,temp_min
2020-03-30,-0.4,-3.3
2020-03-31,4.0,-2.0
2020-04-01,3.5,-2.5
2020-04-02,5.2,-2.0
2020-04-03,0.4,-1.6
2020-04-04,1.0,-2.2
2020-04-05,0.6,-4.0
2020-04-06,9.2,-4.9
2020-04-07,7.6,2.5
2020-04-08,7.8,2.2
2020-04-09,6.3,0.6
2020-04-10,4.0,-1.0
2020-04-11,3.7,-2.2
2020-04-12,4.8,-0.8
2020-04-13,1.7,0.8
2020-04-14,1.8,-1.4
2020-04-15,7.3,-0.3
2020-04-16,5.6,0.7
2020-04-17,6.9,1.1
2020-04-18,6.1,1.0
2020-04-19,7.2,0.9
2020-04-20,9.9,3.7
2020-04-21,9.9,1.9
2020-04-22,9.1,0.3
2020-04-23,7.8,1.5
2020-04-24,5.3,0.1
2020-04-25,6.1,-0.2
2020-04-26,6.2,1.1
2020-04-27,4.6,-0.5
2020-04-28,3.0,-0.6
2020-04-29,5.6,-1.5
